id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,additional_image_link[0],additional_image_link[1],additional_image_link[2],video[0].url,video[0].tag[0],gtin,product_tags[0],product_tags[1],style[0]
3C6MRWAZ9RE126957,2024 RAM ProMaster EV Super High Roof,New | 2024 RAM ProMaster EV Super High Roof | Body: Extended Cargo Van | Exterior: Bright White Clear-Coat | Interior: Black | Engine: Electric Motor | Transmission: FR Offset 1 Speed Gearbox | Drivetrain: FWD | Fuel: Electric | Stock #: FL26957 | VIN: 3C6MRWAZ9RE126957,in stock,new,76530.00 USD,https://www.lakenormanchrysler.com/inventory/new-2024-ram-promaster-ev-super-high-roof-fwd-extended-cargo-van-3c6mrwaz9re126957/,https://vehicle-images.carscommerce.inc/1931-110012010/3C6MRWAZ9RE126957/thumbnails/large/172e96cb7a8677a00afbee1029ddf545.jpg,RAM,"Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans","Vehicles & Parts > Vehicles > Cars, Trucks & Vans",,76530.00 USD,,2024-RAM-ProMaster-EV-Super-High-Roof,,Bright White Clear-Coat,,,,,,,https://vehicle-images.carscommerce.inc/1931-110012010/3C6MRWAZ9RE126957/172e96cb7a8677a00afbee1029ddf545.jpg,https://vehicle-images.carscommerce.inc/820c-110012010/3C6MRWAZ9RE126957/c822b59776d9eb18cc97291f8dd89d3f.jpg,https://vehicle-images.carscommerce.inc/ee25-110012010/3C6MRWAZ9RE126957/bb36f1e1bf0adf477012eb36381991bb.jpg,,,,Extended Cargo Van,FWD,
3C6LRVVG7TE160806,2026 RAM ProMaster Base,New | 2026 RAM ProMaster Base | Body: Cargo Van | Exterior: Bright White Clear-Coat | Interior: Black | Engine: 3.6L V6 24V VVT | Transmission: 9-Spd 948TE Auto Transmission | Drivetrain: 4x2 | Fuel: Regular unleaded | Stock #: F60806 | VIN: 3C6LRVVG7TE160806,in stock,new,54650.00 USD,https://www.lakenormanchrysler.com/inventory/new-2026-ram-promaster-base-4x2-cargo-van-3c6lrvvg7te160806/,https://vehicle-images.carscommerce.inc/8396-110012010/3C6LRVVG7TE160806/thumbnails/large/e759204f147ce4ed2da4ef11a5f8a268.jpg,RAM,"Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans","Vehicles & Parts > Vehicles > Cars, Trucks & Vans",,45650.00 USD,,2026-RAM-ProMaster,,Bright White Clear-Coat,,,,,,,https://vehicle-images.carscommerce.inc/8396-110012010/3C6LRVVG7TE160806/e759204f147ce4ed2da4ef11a5f8a268.jpg,https://vehicle-images.carscommerce.inc/9821-110012010/3C6LRVVG7TE160806/661abea135f6c1a8ccc8b8f82d3526e2.jpg,https://vehicle-images.carscommerce.inc/2de9-110012010/3C6LRVVG7TE160806/a2be68cc77cb18a01082e2c5b09c4e33.jpg,,,,Cargo Van,4x2,
1C6SRFJP4TN188095,2026 RAM 1500 Laramie,New | 2026 RAM 1500 Laramie | Body: Crew Cab | Exterior: Granite Crystal Metallic Clear-Coat | Interior: Black | Engine: 3.0L I6 Hurricane SO Twin Turbo | Transmission: 8-Spd Auto 8HP75 Trans | Drivetrain: 4x4 | Fuel: Regular unleaded | Stock #: 188095 | VIN: 1C6SRFJP4TN188095 | MPG: 17 city / 24 hwy,in stock,new,60110.00 USD,https://www.lakenormanchrysler.com/inventory/new-2026-ram-1500-laramie-4x4-crew-cab-1c6srfjp4tn188095/,https://vehicle-images.carscommerce.inc/b6e4-110012010/1C6SRFJP4TN188095/b978f852914944f518059c16b73f0b75.jpg,RAM,"Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans","Vehicles & Parts > Vehicles > Cars, Trucks & Vans",,60110.00 USD,,2026-RAM-1500,,Granite Crystal Metallic Clear-Coat,,,,,,,https://vehicle-images.carscommerce.inc/527d-110012010/1C6SRFJP4TN188095/d776228417312b580c0dfba46fec7d3c.jpg,https://vehicle-images.carscommerce.inc/2df6-110012010/1C6SRFJP4TN188095/ad097dfefb6ab5f826b79d9fd1e4bd0e.jpg,https://vehicle-images.carscommerce.inc/4825-110012010/1C6SRFJP4TN188095/4f518f284e2a7406bec6699c8d0d319c.jpg,,,,Crew Cab,4x4,
3C6LRVDG1TE156428,2026 RAM ProMaster High Roof,New | 2026 RAM ProMaster High Roof | Body: Cargo Van | Exterior: Bright White Clear-Coat | Interior: Black | Engine: 3.6L V6 24V VVT | Transmission: 9-Spd 948TE Auto Transmission | Drivetrain: 4x2 | Fuel: Regular unleaded | Stock #: F56428 | VIN: 3C6LRVDG1TE156428,in stock,new,47285.00 USD,https://www.lakenormanchrysler.com/inventory/new-2026-ram-promaster-high-roof-4x2-cargo-van-3c6lrvdg1te156428/,https://vehicle-images.carscommerce.inc/8e23-110012010/3C6LRVDG1TE156428/e7d4207a5f7f36dd09c6551faf616d0c.jpg,RAM,"Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans","Vehicles & Parts > Vehicles > Cars, Trucks & Vans",,47285.00 USD,,2026-RAM-ProMaster,,Bright White Clear-Coat,,,,,,,https://vehicle-images.carscommerce.inc/b7cc-110012010/3C6LRVDG1TE156428/9625bc16a3fde8db3b02048a877263da.jpg,https://vehicle-images.carscommerce.inc/922c-110012010/3C6LRVDG1TE156428/062fd381523d572dc9009da4262c5ef3.jpg,https://vehicle-images.carscommerce.inc/8dc9-110012010/3C6LRVDG1TE156428/d5dd5b24c2eaf834b4fafb6eb10bfcd1.jpg,,,,Cargo Van,4x2,
3C6MRVJG7RE116002,2024 RAM ProMaster 3500 High Roof,Used | 2024 RAM ProMaster 3500 High Roof | Body: Cargo Van | Exterior: White | Interior: Black | Engine: 3.6L V6 24V VVT | Transmission: Automatic | Drivetrain: FWD | Fuel: Regular Unleaded | Stock #: FL6002F | VIN: 3C6MRVJG7RE116002 | Mileage: 15 miles,in stock,used,57115.00 USD,https://www.lakenormanchrysler.com/inventory/used-2024-ram-promaster-3500-high-roof-fwd-extended-cargo-van-3c6mrvjg7re116002/,https://vehicle-images.carscommerce.inc/b054-110012010/3C6MRVJG7RE116002/thumbnails/large/7298aff7ed57f9b7763a803e33bb8c23.jpg,RAM,"Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans","Vehicles & Parts > Vehicles > Cars, Trucks & Vans",,,,2024-RAM-ProMaster-3500,,White,,,,,,,https://vehicle-images.carscommerce.inc/b054-110012010/3C6MRVJG7RE116002/7298aff7ed57f9b7763a803e33bb8c23.jpg,https://vehicle-images.carscommerce.inc/ff24-110012010/3C6MRVJG7RE116002/6520b01fc974afe70bd1c23cfb855ed9.jpg,https://vehicle-images.carscommerce.inc/186d-110012010/3C6MRVJG7RE116002/0a7c7185a764c6e18bfb46afb5a8081c.jpg,,,,Cargo Van,FWD,
3C63R5FL0SG536177,2025 RAM 2500 Laramie,New | 2025 RAM 2500 Laramie | Body: Crew Cab | Exterior: Diamond Black Crystal Pearl-Coat | Interior: Black | Engine: 6.7L I6 Cummins HO Turbo Diesel | Transmission: 8-Spd TorqueFlite HD Automatic | Drivetrain: 4x4 | Fuel: Diesel | Stock #: 536177 | VIN: 3C63R5FL0SG536177,in stock,new,105553.00 USD,https://www.lakenormanchrysler.com/inventory/new-2025-ram-2500-laramie-4x4-crew-cab-3c63r5fl0sg536177/,https://vehicle-images.carscommerce.inc/932d-110012010/3C63R5FL0SG536177/thumbnails/large/353d25803032dc0a7ef08d457569215a.jpg,RAM,"Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans","Vehicles & Parts > Vehicles > Cars, Trucks & Vans",,83660.00 USD,,2025-RAM-2500,,Diamond Black Crystal Pearl-Coat,,,,,,,https://vehicle-images.carscommerce.inc/932d-110012010/3C63R5FL0SG536177/353d25803032dc0a7ef08d457569215a.jpg,https://vehicle-images.carscommerce.inc/5b62-110012010/3C63R5FL0SG536177/46ca4e6d44afbccb729801ae62fec1a3.jpg,https://vehicle-images.carscommerce.inc/fa0b-110012010/3C63R5FL0SG536177/e67933642df706f2d97fb0eda72f6e00.jpg,,,,Crew Cab,4x4,
1C6RJTAG4SL529154,2025 Jeep Gladiator Sport Black Widow,New | 2025 Jeep Gladiator Sport Black Widow | Body: Crew Cab | Exterior: Mojito Exterior Paint | Interior: Black | Engine: 3.6L V6 24V VVT | Transmission: 8-Speed Automatic | Drivetrain: 4x4 | Fuel: Regular unleaded | Stock #: 529154 | VIN: 1C6RJTAG4SL529154 | MPG: 17 city / 22 hwy,in stock,new,70500.00 USD,https://www.lakenormanchrysler.com/inventory/new-2025-jeep-gladiator-sport-black-widow-4x4-crew-cab-1c6rjtag4sl529154/,https://vehicle-images.carscommerce.inc/b2e2-110012010/1C6RJTAG4SL529154/thumbnails/large/3851255e34ead06a76ede22486dc0b83.jpg,Jeep,"Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans","Vehicles & Parts > Vehicles > Cars, Trucks & Vans",,53254.00 USD,,2025-Jeep-Gladiator,,Mojito Exterior Paint,,,,,,,https://vehicle-images.carscommerce.inc/b2e2-110012010/1C6RJTAG4SL529154/3851255e34ead06a76ede22486dc0b83.jpg,https://vehicle-images.carscommerce.inc/c38d-110012010/1C6RJTAG4SL529154/41c04ac523ca598c2c2a153d00da7ee6.jpg,https://vehicle-images.carscommerce.inc/cfef-110012010/1C6RJTAG4SL529154/a21005ef75770b30a0ee677fd8bdc073.jpg,,,,Crew Cab,4x4,
1C4RJHBG0SC361274,2025 Jeep Grand Cherokee Limited,New | 2025 Jeep Grand Cherokee Limited | Body: Sport Utility | Exterior: Baltic Gray Metallic Clear-Coat | Interior: Global Black | Engine: 3.6L V6 24V VVT | Transmission: 8-Spd Auto 850RE Trans | Drivetrain: 4x4 | Fuel: Regular unleaded | Stock #: 361274 | VIN: 1C4RJHBG0SC361274 | MPG: 19 city / 26 hwy,in stock,new,43905.00 USD,https://www.lakenormanchrysler.com/inventory/new-2025-jeep-grand-cherokee-limited-4x4-sport-utility-1c4rjhbg0sc361274/,https://vehicle-images.carscommerce.inc/ded5-110012010/1C4RJHBG0SC361274/thumbnails/large/c925fefc6053cd09ce25c35b270670f5.jpg,Jeep,"Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans","Vehicles & Parts > Vehicles > Cars, Trucks & Vans",,43905.00 USD,,2025-Jeep-Grand-Cherokee,,Baltic Gray Metallic Clear-Coat,,,,,,,https://vehicle-images.carscommerce.inc/ded5-110012010/1C4RJHBG0SC361274/c925fefc6053cd09ce25c35b270670f5.jpg,https://vehicle-images.carscommerce.inc/b3d1-110012010/1C4RJHBG0SC361274/a3194bc862895c3283b0df9d7f83bc4e.jpg,https://vehicle-images.carscommerce.inc/2603-110012010/1C4RJHBG0SC361274/3ad2d9761502163d4c69b27430babdb8.jpg,,,,Sport Utility,4x4,
3C6LRVDG4TE156424,2026 RAM ProMaster High Roof 2500 High Roof Fleet,New | 2026 RAM ProMaster High Roof 2500 High Roof Fleet | Body: Cargo Van | Exterior: Bright White Clear-Coat | Interior: Black | Engine: 3.6L V6 24V VVT | Transmission: 9-Spd 948TE Auto Transmission | Drivetrain: 4x2 | Fuel: Regular unleaded | Stock #: F56424 | VIN: 3C6LRVDG4TE156424,in stock,new,47285.00 USD,https://www.lakenormanchrysler.com/inventory/new-2026-ram-promaster-high-roof-4x2-cargo-van-3c6lrvdg4te156424/,https://vehicle-images.carscommerce.inc/38b3-110012010/3C6LRVDG4TE156424/thumbnails/large/9960fad1c339db7a74e843e34a3a35fe.jpg,RAM,"Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans","Vehicles & Parts > Vehicles > Cars, Trucks & Vans",,47285.00 USD,,2026-RAM-ProMaster-High-Roof,,Bright White Clear-Coat,,,,,,,https://vehicle-images.carscommerce.inc/38b3-110012010/3C6LRVDG4TE156424/9960fad1c339db7a74e843e34a3a35fe.jpg,https://vehicle-images.carscommerce.inc/c795-110012010/3C6LRVDG4TE156424/be7442257e5f01acf5d7575407ec0913.jpg,https://vehicle-images.carscommerce.inc/a28f-110012010/3C6LRVDG4TE156424/be08940b78f7fd6a631d1219ecbe1ca4.jpg,,,,Cargo Van,4x2,
1C6SRFHP6TN208711,2026 RAM 1500 Limited,New | 2026 RAM 1500 Limited | Body: Crew Cab | Exterior: Diamond Black Crystal Pearl-Coat | Interior: Black | Engine: 3.0L I6 Hurricane HO Twin Turbo with Stop/Start | Transmission: 8-Spd Auto 8HP75 Trans | Drivetrain: 4x4 | Fuel: Premium unleaded | Stock #: 208711 | VIN: 1C6SRFHP6TN208711 | MPG: 15 city / 21 hwy,in stock,new,76535.00 USD,https://www.lakenormanchrysler.com/inventory/new-2026-ram-1500-limited-4x4-crew-cab-1c6srfhp6tn208711/,https://vehicle-images.carscommerce.inc/412c-110012010/1C6SRFHP6TN208711/thumbnails/large/81e25aa2d9acd18628089da7d6ce453e.jpg,RAM,"Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans","Vehicles & Parts > Vehicles > Cars, Trucks & Vans",,76535.00 USD,,2026-RAM-1500,,Diamond Black Crystal Pearl-Coat,,,,,,,https://vehicle-images.carscommerce.inc/412c-110012010/1C6SRFHP6TN208711/81e25aa2d9acd18628089da7d6ce453e.jpg,https://vehicle-images.carscommerce.inc/b281-110012010/1C6SRFHP6TN208711/b8531e94ad5b7da0251e22fe60c09d68.jpg,https://vehicle-images.carscommerce.inc/bd9a-110012010/1C6SRFHP6TN208711/e764a6e6b64cdbabae423c5e196b1bac.jpg,,,,Crew Cab,4x4,
1C4PJXEN3SW504308,2025 Jeep Wrangler Sahara,New | 2025 Jeep Wrangler Sahara | Body: 4D Sport Utility | Exterior: Black Clear-Coat | Interior: Black | Engine: 2.0L I4 DOHC | Transmission: 8-Speed Automatic | Drivetrain: 4x4 | Fuel: Premium unleaded | Stock #: 504308 | VIN: 1C4PJXEN3SW504308 | MPG: 20 city / 22 hwy,in stock,new,54500.00 USD,https://www.lakenormanchrysler.com/inventory/new-2025-jeep-wrangler-sahara-4x4-sport-utility-1c4pjxen3sw504308/,https://vehicle-images.carscommerce.inc/2e60-110012010/1C4PJXEN3SW504308/thumbnails/large/9b852b8b282ceaf14efa1c319bc3f535.jpg,Jeep,"Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans","Vehicles & Parts > Vehicles > Cars, Trucks & Vans",,,,2025-Jeep-Wrangler,,Black Clear-Coat,,,,,,,https://vehicle-images.carscommerce.inc/2e60-110012010/1C4PJXEN3SW504308/9b852b8b282ceaf14efa1c319bc3f535.jpg,https://vehicle-images.carscommerce.inc/282f-110012010/1C4PJXEN3SW504308/a290aacfc4ba9f865c0650d544a1022f.jpg,https://vehicle-images.carscommerce.inc/1816-110012010/1C4PJXEN3SW504308/1645ab4810fadff53c7781be602e1383.jpg,,,,4D Sport Utility,4x4,
1C6SRFLP9TN209066,2026 RAM 1500 Rebel,New | 2026 RAM 1500 Rebel | Body: Crew Cab | Exterior: Granite Crystal Metallic Clear-Coat | Interior: Black | Engine: 3.0L I6 Hurricane SO Twin Turbo | Transmission: 8-Spd Auto 8HP75 Trans | Drivetrain: 4x4 | Fuel: Regular unleaded | Stock #: 209066 | VIN: 1C6SRFLP9TN209066 | MPG: 17 city / 24 hwy,in stock,new,58615.00 USD,https://www.lakenormanchrysler.com/inventory/new-2026-ram-1500-rebel-4x4-crew-cab-1c6srflp9tn209066/,https://vehicle-images.carscommerce.inc/3010-110012010/1C6SRFLP9TN209066/thumbnails/large/1dc980aefdcdc8757e5fadca9fe76562.jpg,RAM,"Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans","Vehicles & Parts > Vehicles > Cars, Trucks & Vans",,,,2026-RAM-1500,,Granite Crystal Metallic Clear-Coat,,,,,,,https://vehicle-images.carscommerce.inc/3010-110012010/1C6SRFLP9TN209066/1dc980aefdcdc8757e5fadca9fe76562.jpg,https://vehicle-images.carscommerce.inc/8df4-110012010/1C6SRFLP9TN209066/3f68079a579c65628788c70aabcfca56.jpg,https://vehicle-images.carscommerce.inc/ebb2-110012010/1C6SRFLP9TN209066/e5d3aff291766539b58308e5cc5c71b3.jpg,,,,Crew Cab,4x4,
