id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,video[0].url,video[0].tag[0],gtin,product_tags[0],product_tags[1],style[0]
1HTKHPVMXRH345365,2024 Chevrolet Silverado 6500 HD Work Truck,New 2024 Chevrolet Silverado 6500 HD Work Truck | New | 2024 Chevrolet Silverado 6500 HD Work Truck | Body: Truck | Exterior: Summit White | Interior: Dark Ash seats with Jet Black interior accents | Engine: N/A | Transmission: Automatic | Drivetrain: RWD | Fuel: Diesel | Mileage: 3 miles | MPG: N/A city / N/A hwy | Doors: 2 | Stock #: FK5365 | VIN: 1HTKHPVMXRH345365,in stock,new,54998.00 USD,https://www.parkschevy.com/inventory/new-2024-chevrolet-silverado-6500-hd-work-truck-rear-wheel-drive-regular-cab-1htkhpvmxrh345365/,https://vehicle-images.carscommerce.inc/abaf-110012201/1HTKHPVMXRH345365/thumbnails/large/c58bf0aed3f6356b847736a0f3e88e75.jpg,Chevrolet,"Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans","Vehicles & Parts > Vehicles > Cars, Trucks & Vans",,54998.00 USD,,2024-Chevrolet-Silverado-6500-HD,,Summit White,,,,,,,,,,Truck,RWD,
1HTKHPVK6RH202637,2024 Chevrolet Silverado 5500 HD Work Truck,"New 2024 Chevrolet Silverado 5500 HD Work Truck | New | 2024 Chevrolet Silverado 5500 HD Work Truck | Body: Truck | Exterior: Summit White | Interior: Jet Black, Cloth seat trim | Engine: N/A | Transmission: Automatic | Drivetrain: RWD | Fuel: Diesel | Mileage: 3 miles | MPG: N/A city / N/A hwy | Doors: 2 | Stock #: FK2637 | VIN: 1HTKHPVK6RH202637",in stock,new,48756.00 USD,https://www.parkschevy.com/inventory/new-2024-chevrolet-silverado-5500-hd-work-truck-rear-wheel-drive-regular-cab-1htkhpvk6rh202637/,https://vehicle-images.carscommerce.inc/69cd-110012201/1HTKHPVK6RH202637/thumbnails/large/0feebe48e869f5c46ad1651904475d69.jpg,Chevrolet,"Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans","Vehicles & Parts > Vehicles > Cars, Trucks & Vans",,48756.00 USD,,2024-Chevrolet-Silverado-5500-HD,,Summit White,,,,,,,,,,Truck,RWD,
1HTKHPVK5RH522581,2024 Chevrolet Silverado 5500 HD Work Truck,New 2024 Chevrolet Silverado 5500 HD Work Truck | New | 2024 Chevrolet Silverado 5500 HD Work Truck | Body: Truck | Exterior: Summit White | Interior: Dark Ash seats with Jet Black interior accents | Engine: N/A | Transmission: Automatic | Drivetrain: RWD | Fuel: Diesel | Mileage: 3 miles | MPG: N/A city / N/A hwy | Doors: 2 | Stock #: FK22581 | VIN: 1HTKHPVK5RH522581,in stock,new,49737.00 USD,https://www.parkschevy.com/inventory/new-2024-chevrolet-silverado-5500-hd-work-truck-rear-wheel-drive-regular-cab-1htkhpvk5rh522581/,https://vehicle-images.carscommerce.inc/69cd-110012201/1HTKHPVK5RH522581/thumbnails/large/0feebe48e869f5c46ad1651904475d69.jpg,Chevrolet,"Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans","Vehicles & Parts > Vehicles > Cars, Trucks & Vans",,49737.00 USD,,2024-Chevrolet-Silverado-5500-HD,,Summit White,,,,,,,,,,Truck,RWD,
1HTKHPVK1RH268092,2024 Chevrolet Silverado 5500 HD Work Truck,New 2024 Chevrolet Silverado 5500 HD Work Truck | New | 2024 Chevrolet Silverado 5500 HD Work Truck | Body: Truck | Exterior: Summit White | Interior: Dark Ash seats with Jet Black interior accents | Engine: N/A | Transmission: Automatic | Drivetrain: RWD | Fuel: Diesel | Mileage: 1 miles | MPG: N/A city / N/A hwy | Doors: 2 | Stock #: FK68092 | VIN: 1HTKHPVK1RH268092,in stock,new,48707.00 USD,https://www.parkschevy.com/inventory/new-2024-chevrolet-silverado-5500-hd-work-truck-rear-wheel-drive-regular-cab-1htkhpvk1rh268092/,https://vehicle-images.carscommerce.inc/7b65-110012201/1HTKHPVK1RH268092/thumbnails/large/34a0269e66728f770acb3aa522e10db8.jpg,Chevrolet,"Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans","Vehicles & Parts > Vehicles > Cars, Trucks & Vans",,48707.00 USD,,2024-Chevrolet-Silverado-5500-HD,,Summit White,,,,,,,,,,Truck,RWD,
1HTKHPVK5PH768107,2023 Chevrolet Silverado 5500 HD Work Truck,New 2023 Chevrolet Silverado 5500 HD Work Truck | New | 2023 Chevrolet Silverado 5500 HD Work Truck | Body: Truck | Exterior: Summit White | Interior: Dark Ash seats with Jet Black interior accents | Engine: N/A | Transmission: Automatic | Drivetrain: RWD | Fuel: Diesel | Mileage: 3 miles | MPG: N/A city / N/A hwy | Doors: 2 | Stock #: FK68107 | VIN: 1HTKHPVK5PH768107,in stock,new,45984.00 USD,https://www.parkschevy.com/inventory/new-2023-chevrolet-silverado-5500-hd-work-truck-rear-wheel-drive-regular-cab-1htkhpvk5ph768107/,https://vehicle-images.carscommerce.inc/cd7a-110012201/1HTKHPVK5PH768107/thumbnails/large/078fc6d825a551ca287548ec0ec80df3.jpg,Chevrolet,"Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans","Vehicles & Parts > Vehicles > Cars, Trucks & Vans",,45984.00 USD,,2023-Chevrolet-Silverado-5500-HD,,Summit White,,,,,,,,,,Truck,RWD,
KL8CA6SA2GC543208,2016 Chevrolet Spark LS,"Pre-Owned 2016 Chevrolet Spark LS | Used | 2016 Chevrolet Spark LS | Body: Hatchback | Exterior: SALSA | Interior: JET BLACK, CLOTH SEAT TRIM | Engine: 1.4L I4 | Transmission: Automatic | Drivetrain: FWD | Fuel: Gasoline | Mileage: 57,715 miles | MPG: 30 city / 38 hwy | Doors: 4 | Stock #: 7K8791 | VIN: KL8CA6SA2GC543208",in stock,used,8000.00 USD,https://www.parkschevy.com/inventory/used-2016-chevrolet-spark-ls-front-wheel-drive-hatchback-kl8ca6sa2gc543208/,https://vehicle-images.carscommerce.inc/311c-110012201/KL8CA6SA2GC543208/thumbnails/large/d72246eaf3bc09091cb89a28a790c150.jpg,Chevrolet,"Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans","Vehicles & Parts > Vehicles > Cars, Trucks & Vans",,8000.00 USD,,2016-Chevrolet-Spark,,SALSA,,,,,,,,,,Hatchback,FWD,
KL7CJNSB6FB197644,2015 Chevrolet Trax LTZ,"Pre-Owned 2015 Chevrolet Trax LTZ | Used | 2015 Chevrolet Trax LTZ | Body: SUV | Exterior: SATIN STEEL METALLIC | Interior: JET BLACK/LIGHT TITANIUM, LEATHERETTE SEAT TRIM | Engine: 1.4L I4 | Transmission: Automatic | Drivetrain: FWD | Fuel: Gasoline | Mileage: 109,639 miles | MPG: 24 city / 31 hwy | Doors: 4 | Stock #: 9K8785A | VIN: KL7CJNSB6FB197644",in stock,used,9250.00 USD,https://www.parkschevy.com/inventory/used-2015-chevrolet-trax-ltz-front-wheel-drive-suv-kl7cjnsb6fb197644/,https://vehicle-images.carscommerce.inc/3c96-110012201/KL7CJNSB6FB197644/thumbnails/large/be39fedce2974a7c782977478b038091.jpg,Chevrolet,"Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans","Vehicles & Parts > Vehicles > Cars, Trucks & Vans",,9250.00 USD,,2015-Chevrolet-Trax,,SATIN STEEL METALLIC,,,,,,,,,,SUV,FWD,
KL79MTSL8PB213763,2023 Chevrolet Trailblazer RS,"Pre-Owned 2023 Chevrolet Trailblazer RS | Used | 2023 Chevrolet Trailblazer RS | Body: SUV | Exterior: Summit White | Interior: Jet Black with Red accents, Cloth with Leatherette seat trim | Engine: 1.3L I3 | Transmission: Automatic | Drivetrain: FWD | Fuel: Gasoline | Mileage: 17,611 miles | MPG: 29 city / 31 hwy | Doors: 4 | Stock #: 017480XA | VIN: KL79MTSL8PB213763",in stock,used,24000.00 USD,https://www.parkschevy.com/inventory/used-2023-chevrolet-trailblazer-rs-front-wheel-drive-suv-kl79mtsl8pb213763/,https://vehicle-images.carscommerce.inc/345a-110012201/KL79MTSL8PB213763/thumbnails/large/a3567602432c2d2e7bebbaaadd31053f.jpg,Chevrolet,"Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans","Vehicles & Parts > Vehicles > Cars, Trucks & Vans",,24000.00 USD,,2023-Chevrolet-Trailblazer,,Summit White,,,,,,,,,,SUV,FWD,
3GNAXTEG9PS187210,2023 Chevrolet Equinox LT,"Pre-Owned 2023 Chevrolet Equinox LT | Used | 2023 Chevrolet Equinox LT | Body: SUV | Exterior: Sterling Gray Metallic | Interior: Medium Ash Gray, Premium Cloth seat trim | Engine: 1.5L I4 | Transmission: Automatic | Drivetrain: AWD | Fuel: Gasoline | Mileage: 53,591 miles | MPG: 25 city / 30 hwy | Doors: 4 | Stock #: 9K8797 | VIN: 3GNAXTEG9PS187210",in stock,used,21200.00 USD,https://www.parkschevy.com/inventory/used-2023-chevrolet-equinox-lt-all-wheel-drive-suv-3gnaxteg9ps187210/,https://vehicle-images.carscommerce.inc/ff39-110012201/3GNAXTEG9PS187210/thumbnails/large/419d25cb8091044ec935372050b7c0b3.jpg,Chevrolet,"Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans","Vehicles & Parts > Vehicles > Cars, Trucks & Vans",,21200.00 USD,,2023-Chevrolet-Equinox,,Sterling Gray Metallic,,,,,,,,,,SUV,AWD,
2GC4YME78R1188176,2024 Chevrolet Silverado 2500 HD Custom,"Pre-Owned 2024 Chevrolet Silverado 2500 HD Custom | Used | 2024 Chevrolet Silverado 2500 HD Custom | Body: Crew Cab | Exterior: Black | Interior: Jet Black, Cloth seat trim | Engine: 6.6L V8 | Transmission: Automatic | Drivetrain: 4WD | Fuel: Gasoline | Mileage: 44,294 miles | MPG: N/A city / N/A hwy | Doors: 4 | Stock #: 224290A | VIN: 2GC4YME78R1188176",in stock,used,46000.00 USD,https://www.parkschevy.com/inventory/used-2024-chevrolet-silverado-2500-hd-custom-four-wheel-drive-crew-cab-2gc4yme78r1188176/,https://vehicle-images.carscommerce.inc/cf56-110012201/2GC4YME78R1188176/thumbnails/large/12125def8cf0d03bd794a9d96f734302.jpg,Chevrolet,"Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans","Vehicles & Parts > Vehicles > Cars, Trucks & Vans",,46000.00 USD,,2024-Chevrolet-Silverado-2500-HD,,Black,,,,,,,,,,Crew Cab,4WD,
1GCHK53K13F1234567,2023 Chevrolet Silverado 1500 RST,2023 Chevrolet Silverado 1500 RST with advanced technologies and features. | New | 2023 Chevrolet Silverado 1500 RST | Body: Truck | Exterior: Black | Interior: Gray | Engine: 5.3L V8 | Transmission: 10-Speed Automatic | Drivetrain: 4WD | Fuel: Gasoline | Mileage: 0 miles | MPG: 16 city / 22 hwy | Doors: 4 | Stock #: 123456 | VIN: 1GCHK53K13F1234567,in stock,new,42500.00 USD,https://www.parkschevy.com/vehicle/123456,https://example.com/image1.jpg,Chevrolet,"Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans","Vehicles & Parts > Vehicles > Cars, Trucks & Vans",,40000.00 USD,,2023-Chevrolet-Silverado-1500,,Black,,,,,,,https://example.com/video1.mp4,,,Truck,4WD,
